method,prediction_year,historical_year,weight,temperature_shift_c,monthly_hdd_f_days,payout_usd
temperature_trend,2023,2004,0.043478260869565216,1.9018471885758004,164.73355157465258,0.0
temperature_trend,2023,2005,0.043478260869565216,1.8017499681244424,173.00385120489605,0.0
temperature_trend,2023,2006,0.043478260869565216,1.7016527476730845,205.30860130052275,0.0
temperature_trend,2023,2007,0.043478260869565216,1.6015555272217266,80.63080071401248,0.0
temperature_trend,2023,2008,0.043478260869565216,1.5014583067703686,214.76700114752003,0.0
temperature_trend,2023,2009,0.043478260869565216,1.4013610863190107,223.5263011602703,0.0
temperature_trend,2023,2010,0.043478260869565216,1.3012638658676527,143.9776759530791,0.0
temperature_trend,2023,2011,0.043478260869565216,1.2011666454162948,181.51170087976536,0.0
temperature_trend,2023,2012,0.043478260869565216,1.101069424964937,152.6576507713885,0.0
temperature_trend,2023,2013,0.043478260869565216,1.0009722045135792,154.40325066938672,0.0
temperature_trend,2023,2014,0.043478260869565216,0.9008749840622212,144.38535063113602,0.0
temperature_trend,2023,2015,0.043478260869565216,0.8007777636108633,189.6236006630116,0.0
temperature_trend,2023,2016,0.043478260869565216,0.7006805431595053,176.01060053550935,0.0
temperature_trend,2023,2017,0.043478260869565216,0.6005833227081474,97.78005036338135,0.0
temperature_trend,2023,2018,0.043478260869565216,0.5004861022567896,252.82250031875554,1801.25003187556
temperature_trend,2023,2019,0.043478260869565216,0.40038888180543164,173.411100344256,0.0
temperature_trend,2023,2020,0.043478260869565216,0.3002916613540737,202.305825258192,0.0
temperature_trend,2023,2021,0.043478260869565216,0.20019444090271582,88.25440010200175,0.0
temperature_trend,2023,2022,0.043478260869565216,0.10009722045135791,243.86510008925154,905.5100089251596
trend_half_shift,2023,2000,0.043478260869565216,1.151118035190616,219.99566348973605,0.0
trend_half_shift,2023,2001,0.043478260869565216,1.101069424964937,208.0657258064516,0.0
trend_half_shift,2023,2002,0.043478260869565216,1.0510208147392581,277.2140633367334,4240.406333673343
